equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled to prevent capture by Russia,sunk,sunk but raised by Russia
"Trucks, Vehicles and Jeeps",ZiL-130,,the Soviet Union,4,,,,,,,,,,4.0,,,
"Trucks, Vehicles and Jeeps",ZiL-130 tanker,,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",ZiL-131 tanker,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",ZiL-131,,the Soviet Union,90,,2.0,,38.0,,1.0,,,,49.0,,,
"Trucks, Vehicles and Jeeps",ZiL-131,with ZU-23 AA gun,the Soviet Union,5,,,,2.0,,,,,,3.0,,,
"Trucks, Vehicles and Jeeps",ZiL-4331,,the Soviet Union,1,,,,1.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",ZiL-157,,the Soviet Union,1,,,,1.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",ZiL-181,,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Ural-375D,,the Soviet Union,10,,,,7.0,,,,,,3.0,,,
"Trucks, Vehicles and Jeeps",Ural-4320,,the Soviet Union,33,,,,10.0,,1.0,,1.0,,21.0,,,
"Trucks, Vehicles and Jeeps",Ural-4320,with ZU-23 AA gun,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Ural tanker,,the Soviet Union,13,,,,7.0,,2.0,,,,4.0,,,
"Trucks, Vehicles and Jeeps",KamAZ,,the Soviet Union,11,,,,4.0,,1.0,,2.0,,4.0,,,
"Trucks, Vehicles and Jeeps",KamAZ tanker,,the Soviet Union,1,,,,1.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",MAZ-537,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",MAZ-5316,,Belarus,8,,,,,,1.0,,,,7.0,,,
"Trucks, Vehicles and Jeeps",MAZ AC-8-500A Tanker,,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",MAZ-5337 fuel tanker,,the Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",FMTV M1083A1P2,,the United States,6,,,,,,,,,,6.0,,,
"Trucks, Vehicles and Jeeps",Mercedes-Benz Unimog U1300L ambulance,,Germany,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles and Jeeps",Pinzgauer Vector 718,,the United Kingdom,3,,,,,,2.0,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Land Rover Defender,,the United Kingdom,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",UAZ-469 jeep,,the Soviet Union,9,,,,4.0,,,,,,5.0,,,
"Trucks, Vehicles and Jeeps",UAZ-452 van,,the Soviet Union,9,,,,2.0,,1.0,,,,6.0,,,
"Trucks, Vehicles and Jeeps",Armoured Volkswagen Amarok pickup truck,,Germany,1,,,,,,,,1.0,,,,,
"Trucks, Vehicles and Jeeps",Bogdan-2351 ambulance pickup truck,,Ukraine,6,,,,1.0,,,,,,5.0,,,
"Trucks, Vehicles and Jeeps",Armed pickup truck,with KPV HMG,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Armed pickup truck,with M2 HMG,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Armed pickup truck,with ZU-23 AA gun,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Armed tactical buggy,with ATGM,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Ford Ranger,,the United States,1,,,,,,,,1.0,,,,,
"Trucks, Vehicles and Jeeps",Peugeot P4,,France,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles and Jeeps",Unknown tanker,,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Unknown truck,,Ukraine,65,,,,4.0,,2.0,1.0,,,58.0,,,
"Trucks, Vehicles and Jeeps",Unknown truck,with ZU-23 AA gun,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles and Jeeps",Unknown vehicle,,Ukraine,42,,,,,,,,,,42.0,,,
